Rank,Original_Latent_Idx,Variance,Std,Mean,Min,Max,Range,Variance_Share,Status
1,4,2.56377594,1.60118,1.227169,0.0,5.847874,5.847874,0.244782,active
2,3,2.48072839,1.575033,1.114105,0.0,5.935405,5.935405,0.236853,active
3,10,1.63989389,1.280583,1.041888,0.0,4.392434,4.392434,0.156572,active
4,7,0.87694364,0.936453,0.622818,0.0,4.076874,4.076874,0.083728,active
5,6,0.85875119,0.926688,0.950214,0.0,2.926116,2.926116,0.081991,active
6,13,0.44699996,0.668581,0.650218,0.0,2.118634,2.118634,0.042678,active
7,1,0.38583689,0.621158,0.469539,0.0,2.477761,2.477761,0.036839,active
8,15,0.30354571,0.55095,0.842829,0.0,2.34324,2.34324,0.028982,active
9,11,0.27750966,0.526792,0.303498,0.0,2.827176,2.827176,0.026496,active
10,12,0.25115349,0.501152,0.794431,0.0,2.187842,2.187842,0.023979,active
11,5,0.21193932,0.460369,0.502232,0.0,1.844833,1.844833,0.020235,active
12,0,0.10009271,0.316374,0.201536,0.0,1.547254,1.547254,0.009557,active
13,8,0.07580393,0.275325,0.265622,0.0,1.409865,1.409865,0.007238,active
14,14,0.00072966,0.027012,0.004782,0.0,0.234258,0.234258,7e-05,active
15,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEAD
16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEAD
